City,DATE,PRCP,TAVG
Minneapolis,2017-02-15,0,28
Roanoke,2017-02-15,0.04,47
Los Angeles,2017-02-16,0,57
Miami,2017-02-16,0,73
Fairbanks,2017-02-16,0,10
Minneapolis,2017-02-16,0,33
Roanoke,2017-02-16,0,38
Los Angeles,2017-02-17,1.58,58
Miami,2017-02-17,0,66
Fairbanks,2017-02-17,0,0
Minneapolis,2017-02-17,0,41
Roanoke,2017-02-17,0,46
Los Angeles,2017-02-18,0.27,54
Miami,2017-02-18,0,70
Fairbanks,2017-02-18,0,1
Minneapolis,2017-02-18,0,47
Roanoke,2017-02-18,0,59
Los Angeles,2017-02-19,0.03,55
Miami,2017-02-19,0,75
Fairbanks,2017-02-19,0,3
Minneapolis,2017-02-19,0,45
Roanoke,2017-02-19,0,58
Los Angeles,2017-02-20,0.07,56
Miami,2017-02-20,0,72
Fairbanks,2017-02-20,0.01,-1
Minneapolis,2017-02-20,0.61,51
Roanoke,2017-02-20,0,54
Los Angeles,2017-02-21,0.01,59
Miami,2017-02-21,0,70
Fairbanks,2017-02-21,0,-13
Minneapolis,2017-02-21,0,46
Roanoke,2017-02-21,0,53
Los Angeles,2017-02-22,0,58
Miami,2017-02-22,1.3,68
Fairbanks,2017-02-22,0.08,-6
Minneapolis,2017-02-22,0,48
Roanoke,2017-02-22,0.18,51
Los Angeles,2017-02-23,0,55
Miami,2017-02-23,0,69
Fairbanks,2017-02-23,0.19,10
Minneapolis,2017-02-23,0,37
Roanoke,2017-02-23,0,57
Los Angeles,2017-02-24,0,53
Miami,2017-02-24,0,71
Fairbanks,2017-02-24,0.33,25
Minneapolis,2017-02-24,0,27
Roanoke,2017-02-24,0,61
Los Angeles,2017-02-25,0,52
Miami,2017-02-25,0,73
Fairbanks,2017-02-25,0.43,32
Minneapolis,2017-02-25,0,22
Roanoke,2017-02-25,0.01,61
Los Angeles,2017-02-26,0.07,52
Miami,2017-02-26,0,74
Fairbanks,2017-02-26,0.04,31
Minneapolis,2017-02-26,0,29
Roanoke,2017-02-26,0,41
Los Angeles,2017-02-27,0,53
Miami,2017-02-27,0.01,77
Fairbanks,2017-02-27,0.06,25
Minneapolis,2017-02-27,0,33
Roanoke,2017-02-27,0,42
Los Angeles,2017-02-28,0,55
Miami,2017-02-28,0,78
Fairbanks,2017-02-28,0,14
Minneapolis,2017-02-28,0,40
Roanoke,2017-02-28,0.13,51
Los Angeles,2017-03-01,0,56
Miami,2017-03-01,0,77
Fairbanks,2017-03-01,0,-1
Minneapolis,2017-03-01,0.04,32
Roanoke,2017-03-01,0.18,57
Los Angeles,2017-03-02,0,61
Miami,2017-03-02,0.18,76
Fairbanks,2017-03-02,0,-18
Minneapolis,2017-03-02,0,24
Roanoke,2017-03-02,0,50
Los Angeles,2017-03-03,0,64
Miami,2017-03-03,0,74
Fairbanks,2017-03-03,0,-22
Minneapolis,2017-03-03,0.01,21
Roanoke,2017-03-03,0,40
Los Angeles,2017-03-04,0,59
Miami,2017-03-04,0,73
Fairbanks,2017-03-04,0.02,-7
Minneapolis,2017-03-04,0,30
Roanoke,2017-03-04,0,36
Los Angeles,2017-03-05,0.02,57
Miami,2017-03-05,0,71
Fairbanks,2017-03-05,0,2
Minneapolis,2017-03-05,0,43
Roanoke,2017-03-05,0,36
Los Angeles,2017-03-06,0,54
Miami,2017-03-06,0,71
Fairbanks,2017-03-06,0,-21
Minneapolis,2017-03-06,0.09,53
Roanoke,2017-03-06,0,43
Los Angeles,2017-03-07,0,57
Miami,2017-03-07,0,72
Fairbanks,2017-03-07,0,-22
Minneapolis,2017-03-07,0,42
Roanoke,2017-03-07,0.16,57
Los Angeles,2017-03-08,0,62
Miami,2017-03-08,0,74
Fairbanks,2017-03-08,0,-24
Minneapolis,2017-03-08,0,33
Roanoke,2017-03-08,0,57
Los Angeles,2017-03-09,0,63
Miami,2017-03-09,0,74
Fairbanks,2017-03-09,0,-22
Minneapolis,2017-03-09,0,27
Roanoke,2017-03-09,0,58
Los Angeles,2017-03-10,0,64
Miami,2017-03-10,0,74
Fairbanks,2017-03-10,0.05,4
Minneapolis,2017-03-10,0,15
Roanoke,2017-03-10,0,54
Los Angeles,2017-03-11,0,62
Miami,2017-03-11,0,74
Fairbanks,2017-03-11,0,3
Minneapolis,2017-03-11,0,13
Roanoke,2017-03-11,0,37
Los Angeles,2017-03-12,0,58
Miami,2017-03-12,1.33,75
Fairbanks,2017-03-12,0,-1
Minneapolis,2017-03-12,0.24,17
Roanoke,2017-03-12,0,37
Los Angeles,2017-03-13,0,58
Miami,2017-03-13,0,74
Fairbanks,2017-03-13,0,-8
Minneapolis,2017-03-13,0.01,20
Roanoke,2017-03-13,0.15,35
Los Angeles,2017-03-14,0,58
Miami,2017-03-14,0.4,73
Fairbanks,2017-03-14,0,-3
Minneapolis,2017-03-14,0,19
Roanoke,2017-03-14,0.13,35
Los Angeles,2017-03-15,0,60
Miami,2017-03-15,0,64
Fairbanks,2017-03-15,0,-1
Minneapolis,2017-03-15,0,21
Roanoke,2017-03-15,0,24
Los Angeles,2017-03-16,0,61
Miami,2017-03-16,0,61
Fairbanks,2017-03-16,0,-3
Minneapolis,2017-03-16,0,28
Roanoke,2017-03-16,0,31
Los Angeles,2017-03-17,0,59
Miami,2017-03-17,0,65
Fairbanks,2017-03-17,0,-12
Minneapolis,2017-03-17,0,37
Roanoke,2017-03-17,0.25,38
Los Angeles,2017-03-18,0,58
Miami,2017-03-18,0,70
Fairbanks,2017-03-18,0,-10
Minneapolis,2017-03-18,0,35
Roanoke,2017-03-18,0.1,48
Los Angeles,2017-03-19,0,59
Miami,2017-03-19,0,70
Fairbanks,2017-03-19,0,-6
Minneapolis,2017-03-19,0,38
Roanoke,2017-03-19,0,45
Los Angeles,2017-03-20,0,60
Miami,2017-03-20,0,70
Fairbanks,2017-03-20,0,-2
Minneapolis,2017-03-20,0,46
Roanoke,2017-03-20,0,46
Los Angeles,2017-03-21,0.05,60
Miami,2017-03-21,0,71
Fairbanks,2017-03-21,0,-2
Minneapolis,2017-03-21,0,37
Roanoke,2017-03-21,0,58
Los Angeles,2017-03-22,0.01,59
Miami,2017-03-22,0,72
Fairbanks,2017-03-22,0,-3
Minneapolis,2017-03-22,0,29
Roanoke,2017-03-22,0,52
Los Angeles,2017-03-23,0,60
Miami,2017-03-23,1.17,74
Fairbanks,2017-03-23,0,1
Minneapolis,2017-03-23,0.17,38
Roanoke,2017-03-23,0,41
Los Angeles,2017-03-24,0,58
Miami,2017-03-24,0.59,73
Fairbanks,2017-03-24,0,-2
Minneapolis,2017-03-24,0.01,40
Roanoke,2017-03-24,0,49
Los Angeles,2017-03-25,0,60
Miami,2017-03-25,0.07,74
Fairbanks,2017-03-25,0,2
Minneapolis,2017-03-25,0.05,40
Roanoke,2017-03-25,0,65
Los Angeles,2017-03-26,0,59
Miami,2017-03-26,0.18,74
Fairbanks,2017-03-26,0,6
Minneapolis,2017-03-26,0.04,39
Roanoke,2017-03-26,0.07,61
Los Angeles,2017-03-27,0,60
Miami,2017-03-27,0,75
Fairbanks,2017-03-27,0,13
Minneapolis,2017-03-27,0,44
Roanoke,2017-03-27,0,63
Los Angeles,2017-03-28,0,65
Miami,2017-03-28,0,74
Fairbanks,2017-03-28,0,21
Minneapolis,2017-03-28,0,49
Roanoke,2017-03-28,0.31,65
Los Angeles,2017-03-29,0,64
Miami,2017-03-29,0,77
Fairbanks,2017-03-29,0,11
Minneapolis,2017-03-29,0,49
Roanoke,2017-03-29,0,64
Los Angeles,2017-03-30,0,63
Miami,2017-03-30,0,77
Fairbanks,2017-03-30,0.1,17
Minneapolis,2017-03-30,0.02,42
Roanoke,2017-03-30,0,56
Los Angeles,2017-03-31,0,63
Miami,2017-03-31,0,79
Fairbanks,2017-03-31,0,26
Minneapolis,2017-03-31,0,44
Roanoke,2017-03-31,0.97,55
Los Angeles,2017-04-01,0,60
Miami,2017-04-01,0,80
Fairbanks,2017-04-01,0,34
Minneapolis,2017-04-01,0,51
Roanoke,2017-04-01,0,58
Los Angeles,2017-04-02,0,61
Miami,2017-04-02,0,80
Fairbanks,2017-04-02,0,37
Minneapolis,2017-04-02,0,51
Roanoke,2017-04-02,0,53
Los Angeles,2017-04-03,0,58
Miami,2017-04-03,0,80
Fairbanks,2017-04-03,0,35
Minneapolis,2017-04-03,0.12,49
Roanoke,2017-04-03,0.7,53
Los Angeles,2017-04-04,0,60
Miami,2017-04-04,0,80
Fairbanks,2017-04-04,0,37
Minneapolis,2017-04-04,0,52
Roanoke,2017-04-04,0.01,63
Los Angeles,2017-04-05,0,62
Miami,2017-04-05,0,80
Fairbanks,2017-04-05,0,37
Minneapolis,2017-04-05,0,48
Roanoke,2017-04-05,0,65
Los Angeles,2017-04-06,0,61
Miami,2017-04-06,0,82
Fairbanks,2017-04-06,0.04,36
Minneapolis,2017-04-06,0,46
Roanoke,2017-04-06,0.33,59
Los Angeles,2017-04-07,0.05,60
Miami,2017-04-07,0,71
Fairbanks,2017-04-07,0.05,31
Minneapolis,2017-04-07,0,46
Roanoke,2017-04-07,0,44
Los Angeles,2017-04-08,0.33,60
Miami,2017-04-08,0,68
Fairbanks,2017-04-08,0,27
Minneapolis,2017-04-08,0,55
Roanoke,2017-04-08,0,51
Los Angeles,2017-04-09,0,59
Miami,2017-04-09,0,73
Fairbanks,2017-04-09,0,30
Minneapolis,2017-04-09,0.02,65
Roanoke,2017-04-09,0,55
Los Angeles,2017-04-10,0,61
Miami,2017-04-10,0,74
Fairbanks,2017-04-10,0,35
Minneapolis,2017-04-10,0.18,49
Roanoke,2017-04-10,0,62
Los Angeles,2017-04-11,0,61
Miami,2017-04-11,0,75
Fairbanks,2017-04-11,0,35
Minneapolis,2017-04-11,0,38
Roanoke,2017-04-11,0,70
Los Angeles,2017-04-12,0,60
Miami,2017-04-12,0.06,76
Fairbanks,2017-04-12,0,35
Minneapolis,2017-04-12,0.16,48
Roanoke,2017-04-12,0,71
Los Angeles,2017-04-13,0,61
Miami,2017-04-13,0,76
Fairbanks,2017-04-13,0,38
Minneapolis,2017-04-13,0,49
Roanoke,2017-04-13,0,65
Los Angeles,2017-04-14,0,59
Miami,2017-04-14,0,76
Fairbanks,2017-04-14,0,37
Minneapolis,2017-04-14,0.3,54
Roanoke,2017-04-14,0,66
Los Angeles,2017-04-15,0,60
Miami,2017-04-15,0,77
Fairbanks,2017-04-15,0,37
Minneapolis,2017-04-15,1,62
Roanoke,2017-04-15,0.76,68
Los Angeles,2017-04-16,0,62
Miami,2017-04-16,0,77
Fairbanks,2017-04-16,0,31
Minneapolis,2017-04-16,0,56
Roanoke,2017-04-16,0,72
Los Angeles,2017-04-17,0,61
Miami,2017-04-17,0,77
Fairbanks,2017-04-17,0,28
Minneapolis,2017-04-17,0,53
Roanoke,2017-04-17,0.08,66
Los Angeles,2017-04-18,0,61
Miami,2017-04-18,0,78
Fairbanks,2017-04-18,0,29
Minneapolis,2017-04-18,0.15,55
Roanoke,2017-04-18,0.05,63
Los Angeles,2017-04-19,0,62
Miami,2017-04-19,0,78
Fairbanks,2017-04-19,0,31
Minneapolis,2017-04-19,0.8,48
Roanoke,2017-04-19,0.17,54
Los Angeles,2017-04-20,0,63
Miami,2017-04-20,0.02,77
Fairbanks,2017-04-20,0,29
Minneapolis,2017-04-20,0.15,45
Roanoke,2017-04-20,0.05,63
Los Angeles,2017-04-21,0,67
Miami,2017-04-21,0,76
Fairbanks,2017-04-21,0,33
Minneapolis,2017-04-21,0,49
Roanoke,2017-04-21,0,71
Los Angeles,2017-04-22,0,69
Miami,2017-04-22,0,78
Fairbanks,2017-04-22,0,38
Minneapolis,2017-04-22,0,56
Roanoke,2017-04-22,0.48,65
Los Angeles,2017-04-23,0,65
Miami,2017-04-23,2.08,76
Fairbanks,2017-04-23,0,42
Minneapolis,2017-04-23,0,59
Roanoke,2017-04-23,0.92,50
Los Angeles,2017-04-24,0,63
Miami,2017-04-24,0,77
Fairbanks,2017-04-24,0,44
Minneapolis,2017-04-24,0.02,60
Roanoke,2017-04-24,1.75,50
Los Angeles,2017-04-25,0,64
Miami,2017-04-25,0,76
Fairbanks,2017-04-25,0,47
Minneapolis,2017-04-25,0.45,59
Roanoke,2017-04-25,0.53,54
Los Angeles,2017-04-26,0,65
Miami,2017-04-26,0,76
Fairbanks,2017-04-26,0,40
Minneapolis,2017-04-26,0.38,43
Roanoke,2017-04-26,0,64
Los Angeles,2017-04-27,0,62
Miami,2017-04-27,0,82
Fairbanks,2017-04-27,0,41
Minneapolis,2017-04-27,0.01,35
Roanoke,2017-04-27,0.09,68
Los Angeles,2017-04-28,0,72
Miami,2017-04-28,0,83
Fairbanks,2017-04-28,0,40
Minneapolis,2017-04-28,0,40
Roanoke,2017-04-28,0,66
Los Angeles,2017-04-29,0,72
Miami,2017-04-29,0,82
Fairbanks,2017-04-29,0,44
Minneapolis,2017-04-29,0,46
Roanoke,2017-04-29,0,77
Los Angeles,2017-04-30,0,66
Miami,2017-04-30,0,82
Fairbanks,2017-04-30,0,44
Minneapolis,2017-04-30,0.71,47
Roanoke,2017-04-30,0,77
Los Angeles,2017-05-01,0,65
Miami,2017-05-01,0,82
Fairbanks,2017-05-01,0,42
Minneapolis,2017-05-01,0.26,40
Roanoke,2017-05-01,0.12,72
Los Angeles,2017-05-02,0,66
Miami,2017-05-02,0.14,82
Fairbanks,2017-05-02,0,45
Minneapolis,2017-05-02,0.03,46
Roanoke,2017-05-02,0,67
Los Angeles,2017-05-03,0,66
Miami,2017-05-03,0,79
Fairbanks,2017-05-03,0,49
Minneapolis,2017-05-03,0,56
Roanoke,2017-05-03,0,64
Los Angeles,2017-05-04,0,64
Miami,2017-05-04,0,82
Fairbanks,2017-05-04,0.01,45
Minneapolis,2017-05-04,0,58
Roanoke,2017-05-04,0.64,58
Los Angeles,2017-05-05,0,60
Miami,2017-05-05,0.47,80
Fairbanks,2017-05-05,0,47
Minneapolis,2017-05-05,0,61
Roanoke,2017-05-05,1.61,64
Los Angeles,2017-05-06,0,61
Miami,2017-05-06,0,74
Fairbanks,2017-05-06,0,48
Minneapolis,2017-05-06,0,60
Roanoke,2017-05-06,0.01,55
Los Angeles,2017-05-07,0.13,56
Miami,2017-05-07,0,74
Fairbanks,2017-05-07,0,52
Minneapolis,2017-05-07,0,57
Roanoke,2017-05-07,0,53
Los Angeles,2017-05-08,0,57
Miami,2017-05-08,0,77
Fairbanks,2017-05-08,0,56
Minneapolis,2017-05-08,0.25,58
Roanoke,2017-05-08,0,55
Los Angeles,2017-05-09,0,61
Miami,2017-05-09,0,79
Fairbanks,2017-05-09,0.12,50
Minneapolis,2017-05-09,0.03,60
Roanoke,2017-05-09,0.36,51
Los Angeles,2017-05-10,0,63
Miami,2017-05-10,0,80
Fairbanks,2017-05-10,0,49
Minneapolis,2017-05-10,0,61
Roanoke,2017-05-10,0.05,63
Los Angeles,2017-05-11,0,62
Miami,2017-05-11,0,80
Fairbanks,2017-05-11,0,51
Minneapolis,2017-05-11,0,59
Roanoke,2017-05-11,0.15,70
Los Angeles,2017-05-12,0,62
Miami,2017-05-12,0,81
Fairbanks,2017-05-12,0,54
Minneapolis,2017-05-12,0,61
Roanoke,2017-05-12,0.77,54
Los Angeles,2017-05-13,0,62
Miami,2017-05-13,0,83
Fairbanks,2017-05-13,0,50
Minneapolis,2017-05-13,0,69
Roanoke,2017-05-13,0.06,57
Los Angeles,2017-05-14,0,62
Miami,2017-05-14,0.37,82
Fairbanks,2017-05-14,0,52
Minneapolis,2017-05-14,0,71
Roanoke,2017-05-14,0,64
Los Angeles,2017-05-15,0,60
Miami,2017-05-15,0,81
Fairbanks,2017-05-15,0.08,53
Minneapolis,2017-05-15,0.24,68
Roanoke,2017-05-15,0,74
Los Angeles,2017-05-16,0,59
Miami,2017-05-16,0,83
Fairbanks,2017-05-16,0,57
Minneapolis,2017-05-16,0.35,68
Roanoke,2017-05-16,0,68
Los Angeles,2017-05-17,0,60
Miami,2017-05-17,0.16,83
Fairbanks,2017-05-17,0,58
Minneapolis,2017-05-17,1.81,68
Roanoke,2017-05-17,0,75
Los Angeles,2017-05-18,0,62
Miami,2017-05-18,0.89,83
Fairbanks,2017-05-18,0,58
Minneapolis,2017-05-18,0.27,53
Roanoke,2017-05-18,0,78
Los Angeles,2017-05-19,0,66
Miami,2017-05-19,0,82
Fairbanks,2017-05-19,0,53
Minneapolis,2017-05-19,0,49
Roanoke,2017-05-19,0,76
Los Angeles,2017-05-20,0,71
Miami,2017-05-20,0,84
Fairbanks,2017-05-20,0,50
Minneapolis,2017-05-20,1.47,48
Roanoke,2017-05-20,0.97,74
Los Angeles,2017-05-21,0,68
Miami,2017-05-21,0,83
Fairbanks,2017-05-21,0,51
Minneapolis,2017-05-21,0.04,50
Roanoke,2017-05-21,0.18,64
Los Angeles,2017-05-22,0,63
Miami,2017-05-22,0,82
Fairbanks,2017-05-22,0.27,53
Minneapolis,2017-05-22,0.01,53
Roanoke,2017-05-22,0.43,65
Los Angeles,2017-05-23,0,62
Miami,2017-05-23,0,83
Fairbanks,2017-05-23,0,50
Minneapolis,2017-05-23,0.01,56
Roanoke,2017-05-23,1.14,62
Los Angeles,2017-05-24,0,61
Miami,2017-05-24,0.47,85
Fairbanks,2017-05-24,0.02,49
Minneapolis,2017-05-24,0,54
Roanoke,2017-05-24,1.51,58
Los Angeles,2017-05-25,0,61
Miami,2017-05-25,0.01,81
Fairbanks,2017-05-25,0.04,49
Minneapolis,2017-05-25,0.01,60
Roanoke,2017-05-25,0.11,62
Los Angeles,2017-05-26,0,63
Miami,2017-05-26,0.17,84
Fairbanks,2017-05-26,0.01,42
Minneapolis,2017-05-26,0,67
Roanoke,2017-05-26,0,67
Los Angeles,2017-05-27,0,62
Miami,2017-05-27,0.01,86
Fairbanks,2017-05-27,0,46
Minneapolis,2017-05-27,0,66
Roanoke,2017-05-27,0,71
Los Angeles,2017-05-28,0,63
Miami,2017-05-28,0,86
Fairbanks,2017-05-28,0,50
Minneapolis,2017-05-28,0.02,66
Roanoke,2017-05-28,0,73
Los Angeles,2017-05-29,0,62
Miami,2017-05-29,0,85
Fairbanks,2017-05-29,0.01,57
Minneapolis,2017-05-29,0,59
Roanoke,2017-05-29,0,73
Los Angeles,2017-05-30,0,62
Miami,2017-05-30,0,85
Fairbanks,2017-05-30,0.03,49
Minneapolis,2017-05-30,0,56
Roanoke,2017-05-30,0,73
Los Angeles,2017-05-31,0,62
Miami,2017-05-31,0,86
Fairbanks,2017-05-31,0,50
Minneapolis,2017-05-31,0,61
Roanoke,2017-05-31,0.03,71
Los Angeles,2017-06-01,0,64
Miami,2017-06-01,0.03,85
Fairbanks,2017-06-01,0,58
Minneapolis,2017-06-01,0,65
Roanoke,2017-06-01,0,70
Los Angeles,2017-06-02,0,64
Miami,2017-06-02,5.19,81
Fairbanks,2017-06-02,0,62
Minneapolis,2017-06-02,0,73
Roanoke,2017-06-02,0,70
Los Angeles,2017-06-03,0,64
Miami,2017-06-03,0.17,79
Fairbanks,2017-06-03,0,62
Minneapolis,2017-06-03,0,82
Roanoke,2017-06-03,0,69
Los Angeles,2017-06-04,0,63
Miami,2017-06-04,0.66,80
Fairbanks,2017-06-04,0,65
Minneapolis,2017-06-04,0,78
Roanoke,2017-06-04,0.3,71
Los Angeles,2017-06-05,0,63
Miami,2017-06-05,0.11,83
Fairbanks,2017-06-05,0,65
Minneapolis,2017-06-05,0,72
Roanoke,2017-06-05,0.76,68
Los Angeles,2017-06-06,0,64
Miami,2017-06-06,2.15,78
Fairbanks,2017-06-06,0,61
